pair	condition	system	T_within10	C_within10	ALL_within10	sensitivity	specificity	balanced_accuracy	specificity_voiceless_ctx	balanced_accuracy_voiceless_ctx	n_ref_devoiced	n_ref_voiced	cat_excluded
public	B0	B0	43.709	61.201	59.493	66.451	89.172	77.812	82.979	74.715	11452	35528	180
public	B1	B1	43.648	61.114	59.409	66.443	89.167	77.805	82.9	74.671	11452	35530	178
A_vs_B	A	A	33.259	63.015	60.529	53.126	91.229	72.177	89.093	71.109	11452	35559	149
A_vs_B	A	A_r2	34.391	61.738	59.472	54.113	91.327	72.72	89.427	71.77	11452	35548	160
A_vs_B	A	A_r3	33.75	60.023	58.225	51.065	91.669	71.367	90.511	70.788	11452	35544	164
A_vs_B	B	B	36.225	61.634	59.6	49.441	91.361	70.401	89.631	69.536	11452	35548	160
A_vs_B	B	B_r2	35.73	65.56	63.05	52.174	90.359	71.267	86.603	69.389	11452	35525	183
A_vs_B	B	B_r3	34.662	65.071	62.615	56.16	91.575	73.867	90.306	73.233	11453	35549	158
A2_vs_B2	A2	A2	33.585	59.259	57.213	56.89	91.016	73.953	88.512	72.701	11452	35542	166
A2_vs_B2	A2	A2_r2	33.922	60.855	58.56	52.829	91.001	71.915	88.633	70.731	11452	35547	161
A2_vs_B2	A2	A2_r3	34.606	59.881	57.977	52.475	90.585	71.53	87.068	69.772	11453	35550	157
A2_vs_B2	B2	B2	36.912	64.62	62.249	54.895	91.693	73.294	90.451	72.673	11451	35549	160
A2_vs_B2	B2	B2_r2	34.551	63.528	61.133	61.477	90.596	76.037	87.162	74.32	11453	35548	159
A2_vs_B2	B2	B2_r3	31.423	63.047	60.678	57.532	91.53	74.531	90.003	73.767	11451	35538	171
