pair	condition	system	T_within10	C_within10	sensitivity	specificity	balanced_accuracy	n_ref_devoiced	n_ref_voiced	source_check
public	B0	B0	43.709	61.201	66.451	89.172	77.812	11452	35528	recomputed; sens/spec/BA match pilot_devoicing_categorical
public	B1	B1	43.648	61.114	66.443	89.167	77.805	11452	35530	recomputed; sens/spec/BA match pilot_devoicing_categorical
A_vs_B	A	A	33.259	63.015	53.126	91.229	72.177	11452	35559	recomputed; sens/spec/BA match pilot_devoicing_categorical
A_vs_B	A	A_r2	34.391	61.738	54.113	91.327	72.72	11452	35548	recomputed; sens/spec/BA match pilot_devoicing_categorical
A_vs_B	A	A_r3	33.75	60.023	51.065	91.669	71.367	11452	35544	recomputed; sens/spec/BA match pilot_devoicing_categorical
A_vs_B	B	B	36.225	61.634	49.441	91.361	70.401	11452	35548	recomputed; sens/spec/BA match pilot_devoicing_categorical
A_vs_B	B	B_r2	35.73	65.56	52.174	90.359	71.267	11452	35525	recomputed; sens/spec/BA match pilot_devoicing_categorical
A_vs_B	B	B_r3	34.662	65.071	56.16	91.575	73.867	11453	35549	recomputed; sens/spec/BA match pilot_devoicing_categorical
A2_vs_B2	A2	A2	33.585	59.259	56.89	91.016	73.953	11452	35542	recomputed; matches d14_nolda_replicates_models + pilot_devoicing_categorical
A2_vs_B2	A2	A2_r2	33.922	60.855	52.829	91.001	71.915	11452	35547	recomputed; matches d14_nolda_replicates_models + pilot_devoicing_categorical
A2_vs_B2	A2	A2_r3	34.606	59.881	52.475	90.585	71.53	11453	35550	recomputed; matches d14_nolda_replicates_models + pilot_devoicing_categorical
A2_vs_B2	B2	B2	36.912	64.62	54.895	91.693	73.294	11451	35549	recomputed; matches d14_nolda_replicates_models + pilot_devoicing_categorical
A2_vs_B2	B2	B2_r2	34.551	63.528	61.477	90.596	76.037	11453	35548	recomputed; matches d14_nolda_replicates_models + pilot_devoicing_categorical
A2_vs_B2	B2	B2_r3	31.423	63.047	57.532	91.53	74.531	11451	35538	recomputed; matches d14_nolda_replicates_models + pilot_devoicing_categorical
