subset	measure	stratum	n	n_wrong	auc	spk_lo	spk_hi	twoway_lo	twoway_hi
identity_safe	dev_site_ms	within-process pairs only	2564	1277	0.5468	0.5191	0.575	0.501	0.5969
identity_safe	dev_site_ms	aspiration	411	81	0.546	0.476	0.6203	0.3706	0.6739
identity_safe	dev_site_ms	liaison	1005	639	0.5992	0.5669	0.6337	0.5207	0.6622
identity_safe	dev_site_ms	tensification	1147	556	0.5096	0.4716	0.5472	0.4433	0.5733
identity_safe	dev_word_ms	within-process pairs only	2636	1307	0.5193	0.4985	0.5407	0.4712	0.5648
identity_safe	dev_word_ms	aspiration	414	84	0.528	0.4578	0.6007	0.3991	0.698
identity_safe	dev_word_ms	liaison	1020	652	0.5627	0.5276	0.5991	0.491	0.6235
identity_safe	dev_word_ms	tensification	1201	570	0.4896	0.4597	0.5194	0.4298	0.5553
full	dev_site_ms	within-process pairs only	5414	2297	0.5245	0.5079	0.5427	0.4927	0.561
full	dev_site_ms	aspiration	1183	473	0.5057	0.4734	0.5394	0.4363	0.577
full	dev_site_ms	liaison	1092	684	0.5863	0.5546	0.6197	0.5145	0.6505
full	dev_site_ms	liquidization	443	75	0.3851	0.3257	0.4518	0.2726	0.5097
full	dev_site_ms	nasalization_liquid	179	28	0.5475	0.4295	0.6493	0.3591	0.7398
full	dev_site_ms	nasalization_obstruent	1223	352	0.5126	0.4716	0.5569	0.4466	0.5795
full	dev_site_ms	tensification	1294	685	0.5162	0.4819	0.5521	0.4545	0.5795
full	dev_word_ms	within-process pairs only	5538	2367	0.5105	0.4963	0.526	0.4782	0.5451
full	dev_word_ms	aspiration	1197	484	0.4731	0.4423	0.5071	0.4114	0.5429
full	dev_word_ms	liaison	1111	701	0.5516	0.5157	0.5871	0.4889	0.6102
full	dev_word_ms	liquidization	444	75	0.5893	0.5283	0.6471	0.4692	0.6874
full	dev_word_ms	nasalization_liquid	180	29	0.4957	0.3271	0.6499	0.2441	0.7335
full	dev_word_ms	nasalization_obstruent	1240	361	0.5203	0.4787	0.5633	0.4518	0.6027
full	dev_word_ms	tensification	1366	717	0.5015	0.4719	0.5309	0.4422	0.5617
