subset	measure	model	term	estimate	se	ci_lo	ci_hi	OR	p
identity_safe	dev_site_ms	main	(Intercept)	-0.6055	0.1555	-0.9101	-0.3008	0.546	9.83e-05
identity_safe	dev_site_ms	main	zlog	-0.2068	0.069	-0.342	-0.0716	0.813	0.00272
identity_safe	dev_site_ms	main	processaspiration	2.8204	0.4934	1.8533	3.7875	16.784	1.09e-08
identity_safe	dev_site_ms	main	processliaison	-0.6103	0.1972	-0.9969	-0.2237	0.543	0.00197
identity_safe	dev_site_ms	interaction	(Intercept)	-0.6319	0.1563	-0.9383	-0.3256	0.532	5.28e-05
identity_safe	dev_site_ms	interaction	zlog	-0.0772	0.1035	-0.28	0.1256	0.926	0.456
identity_safe	dev_site_ms	interaction	processaspiration	2.8245	0.4921	1.8601	3.789	16.853	9.47e-09
identity_safe	dev_site_ms	interaction	processliaison	-0.6119	0.1974	-0.9989	-0.225	0.542	0.00194
identity_safe	dev_site_ms	interaction	zlog:processaspiration	-0.1905	0.1804	-0.5441	0.1632	0.827	0.291
identity_safe	dev_site_ms	interaction	zlog:processliaison	-0.2475	0.1537	-0.5487	0.0538	0.781	0.107
identity_safe	dev_site_ms	nested_slopes	(Intercept)	-0.6319	0.1563	-0.9383	-0.3255	0.532	5.28e-05
identity_safe	dev_site_ms	nested_slopes	processaspiration	2.8245	0.4921	1.8601	3.789	16.853	9.47e-09
identity_safe	dev_site_ms	nested_slopes	processliaison	-0.6119	0.1974	-0.9989	-0.225	0.542	0.00194
identity_safe	dev_site_ms	nested_slopes	processtensification:zlog	-0.0772	0.1035	-0.28	0.1256	0.926	0.456
identity_safe	dev_site_ms	nested_slopes	processaspiration:zlog	-0.2677	0.1481	-0.5579	0.0225	0.765	0.0706
identity_safe	dev_site_ms	nested_slopes	processliaison:zlog	-0.3246	0.1146	-0.5493	-0.1	0.723	0.00461
identity_safe	dev_word_ms	main	(Intercept)	-0.6557	0.1557	-0.9608	-0.3506	0.519	2.53e-05
identity_safe	dev_word_ms	main	zlog	-0.1123	0.0659	-0.2415	0.017	0.894	0.0886
identity_safe	dev_word_ms	main	processaspiration	2.9118	0.4953	1.941	3.8827	18.391	4.14e-09
identity_safe	dev_word_ms	main	processliaison	-0.5508	0.1937	-0.9304	-0.1711	0.577	0.00447
identity_safe	dev_word_ms	interaction	(Intercept)	-0.6564	0.1555	-0.9611	-0.3516	0.519	2.42e-05
identity_safe	dev_word_ms	interaction	zlog	-0.0794	0.1006	-0.2766	0.1177	0.924	0.43
identity_safe	dev_word_ms	interaction	processaspiration	2.91	0.4946	1.9406	3.8794	18.357	4.01e-09
identity_safe	dev_word_ms	interaction	processliaison	-0.5377	0.194	-0.9179	-0.1575	0.584	0.00557
identity_safe	dev_word_ms	interaction	zlog:processaspiration	-0.1899	0.1707	-0.5245	0.1447	0.827	0.266
identity_safe	dev_word_ms	interaction	zlog:processliaison	0.0279	0.15	-0.2662	0.322	1.028	0.852
identity_safe	dev_word_ms	nested_slopes	(Intercept)	-0.6563	0.1555	-0.9611	-0.3516	0.519	2.42e-05
identity_safe	dev_word_ms	nested_slopes	processaspiration	2.91	0.4946	1.9406	3.8794	18.357	4.01e-09
identity_safe	dev_word_ms	nested_slopes	processliaison	-0.5377	0.194	-0.9179	-0.1575	0.584	0.00557
identity_safe	dev_word_ms	nested_slopes	processtensification:zlog	-0.0794	0.1006	-0.2766	0.1177	0.924	0.43
identity_safe	dev_word_ms	nested_slopes	processaspiration:zlog	-0.2694	0.1381	-0.54	0.0013	0.764	0.0511
identity_safe	dev_word_ms	nested_slopes	processliaison:zlog	-0.0515	0.1111	-0.2692	0.1662	0.95	0.643
full	dev_site_ms	main	(Intercept)	-0.8152	0.126	-1.0621	-0.5683	0.443	9.76e-11
full	dev_site_ms	main	zlog	-0.1016	0.0415	-0.1829	-0.0203	0.903	0.0143
full	dev_site_ms	main	processaspiration	0.3935	0.1881	0.0248	0.7622	1.482	0.0365
full	dev_site_ms	main	processliaison	-0.1337	0.1608	-0.449	0.1815	0.875	0.406
full	dev_site_ms	main	processliquidization	3.2928	0.3022	2.7006	3.885	26.919	1.18e-27
full	dev_site_ms	main	processnasalization_liquid	3.3766	0.3518	2.687	4.0662	29.27	8.24e-22
full	dev_site_ms	main	processnasalization_obstruent	2.1261	0.222	1.6911	2.5612	8.383	9.77e-22
full	dev_site_ms	interaction	(Intercept)	-0.8285	0.1279	-1.0791	-0.5778	0.437	9.27e-11
full	dev_site_ms	interaction	zlog	-0.0656	0.0906	-0.2431	0.1119	0.936	0.469
full	dev_site_ms	interaction	processaspiration	0.366	0.1904	-0.0071	0.7391	1.442	0.0545
full	dev_site_ms	interaction	processliaison	-0.1638	0.164	-0.4853	0.1577	0.849	0.318
full	dev_site_ms	interaction	processliquidization	3.0636	0.3112	2.4536	3.6736	21.404	7.34e-23
full	dev_site_ms	interaction	processnasalization_liquid	3.4695	0.3662	2.7518	4.1872	32.121	2.67e-21
full	dev_site_ms	interaction	processnasalization_obstruent	2.1412	0.2246	1.701	2.5814	8.51	1.52e-21
full	dev_site_ms	interaction	zlog:processaspiration	-0.1674	0.1222	-0.4069	0.072	0.846	0.17
full	dev_site_ms	interaction	zlog:processliaison	-0.1648	0.134	-0.4274	0.0978	0.848	0.219
full	dev_site_ms	interaction	zlog:processliquidization	0.4472	0.1782	0.098	0.7965	1.564	0.0121
full	dev_site_ms	interaction	zlog:processnasalization_liquid	-0.3443	0.3073	-0.9466	0.258	0.709	0.263
full	dev_site_ms	interaction	zlog:processnasalization_obstruent	0.042	0.1216	-0.1964	0.2803	1.043	0.73
full	dev_site_ms	nested_slopes	(Intercept)	-0.8285	0.1279	-1.0791	-0.5778	0.437	9.24e-11
full	dev_site_ms	nested_slopes	processaspiration	0.366	0.1903	-0.0071	0.7391	1.442	0.0545
full	dev_site_ms	nested_slopes	processliaison	-0.1638	0.164	-0.4853	0.1577	0.849	0.318
full	dev_site_ms	nested_slopes	processliquidization	3.0636	0.3112	2.4536	3.6736	21.404	7.27e-23
full	dev_site_ms	nested_slopes	processnasalization_liquid	3.4695	0.3661	2.7519	4.1872	32.121	2.65e-21
full	dev_site_ms	nested_slopes	processnasalization_obstruent	2.1412	0.2246	1.701	2.5814	8.51	1.52e-21
full	dev_site_ms	nested_slopes	processtensification:zlog	-0.0656	0.0906	-0.2431	0.1119	0.936	0.469
full	dev_site_ms	nested_slopes	processaspiration:zlog	-0.2331	0.0822	-0.3941	-0.0721	0.792	0.00456
full	dev_site_ms	nested_slopes	processliaison:zlog	-0.2304	0.0991	-0.4246	-0.0363	0.794	0.02
full	dev_site_ms	nested_slopes	processliquidization:zlog	0.3816	0.1535	0.0809	0.6824	1.465	0.0129
full	dev_site_ms	nested_slopes	processnasalization_liquid:zlog	-0.4099	0.2938	-0.9857	0.1659	0.664	0.163
full	dev_site_ms	nested_slopes	processnasalization_obstruent:zlog	-0.0237	0.0814	-0.1831	0.1358	0.977	0.771
full	dev_word_ms	main	(Intercept)	-0.8584	0.1256	-1.1046	-0.6122	0.424	8.24e-12
full	dev_word_ms	main	zlog	-0.0856	0.0401	-0.1642	-0.0071	0.918	0.0326
full	dev_word_ms	main	processaspiration	0.4309	0.1882	0.0621	0.7997	1.539	0.022
full	dev_word_ms	main	processliaison	-0.1121	0.1595	-0.4247	0.2005	0.894	0.482
full	dev_word_ms	main	processliquidization	3.3011	0.3028	2.7077	3.8945	27.143	1.11e-27
full	dev_word_ms	main	processnasalization_liquid	3.3847	0.3501	2.6985	4.0708	29.508	4.11e-22
full	dev_word_ms	main	processnasalization_obstruent	2.1197	0.2204	1.6878	2.5516	8.329	6.64e-22
full	dev_word_ms	interaction	(Intercept)	-0.8597	0.1258	-1.1063	-0.6131	0.423	8.33e-12
full	dev_word_ms	interaction	zlog	-0.1017	0.0863	-0.2707	0.0674	0.903	0.238
full	dev_word_ms	interaction	processaspiration	0.4169	0.1891	0.0462	0.7876	1.517	0.0275
full	dev_word_ms	interaction	processliaison	-0.0965	0.1606	-0.4113	0.2183	0.908	0.548
full	dev_word_ms	interaction	processliquidization	3.3203	0.304	2.7244	3.9162	27.669	9.11e-28
full	dev_word_ms	interaction	processnasalization_liquid	3.3287	0.3548	2.6332	4.0242	27.901	6.56e-21
full	dev_word_ms	interaction	processnasalization_obstruent	2.1222	0.2209	1.6893	2.5551	8.35	7.32e-22
full	dev_word_ms	interaction	zlog:processaspiration	-0.0376	0.115	-0.263	0.1877	0.963	0.743
full	dev_word_ms	interaction	zlog:processliaison	0.0977	0.1297	-0.1565	0.3519	1.103	0.451
full	dev_word_ms	interaction	zlog:processliquidization	-0.1071	0.1688	-0.4379	0.2237	0.898	0.526
full	dev_word_ms	interaction	zlog:processnasalization_liquid	0.3026	0.318	-0.3208	0.9259	1.353	0.341
full	dev_word_ms	interaction	zlog:processnasalization_obstruent	0.053	0.1183	-0.1788	0.2848	1.054	0.654
full	dev_word_ms	nested_slopes	(Intercept)	-0.8597	0.1258	-1.1063	-0.6131	0.423	8.31e-12
full	dev_word_ms	nested_slopes	processaspiration	0.4169	0.1891	0.0462	0.7876	1.517	0.0275
full	dev_word_ms	nested_slopes	processliaison	-0.0965	0.1606	-0.4113	0.2183	0.908	0.548
full	dev_word_ms	nested_slopes	processliquidization	3.3203	0.304	2.7245	3.9162	27.669	9.06e-28
full	dev_word_ms	nested_slopes	processnasalization_liquid	3.3287	0.3548	2.6332	4.0241	27.901	6.51e-21
full	dev_word_ms	nested_slopes	processnasalization_obstruent	2.1222	0.2208	1.6894	2.5551	8.35	7.28e-22
full	dev_word_ms	nested_slopes	processtensification:zlog	-0.1017	0.0863	-0.2707	0.0674	0.903	0.238
full	dev_word_ms	nested_slopes	processaspiration:zlog	-0.1393	0.0763	-0.2888	0.0101	0.87	0.0677
full	dev_word_ms	nested_slopes	processliaison:zlog	-0.004	0.0968	-0.1937	0.1857	0.996	0.967
full	dev_word_ms	nested_slopes	processliquidization:zlog	-0.2088	0.1452	-0.4933	0.0757	0.812	0.15
full	dev_word_ms	nested_slopes	processnasalization_liquid:zlog	0.2009	0.3061	-0.3991	0.8009	1.222	0.512
full	dev_word_ms	nested_slopes	processnasalization_obstruent:zlog	-0.0487	0.0811	-0.2076	0.1102	0.952	0.548
