setting	process	n	negatives	agreement	aligner_applied	under	over	agree	agree_lo	agree_hi	sens	sens_lo	sens_hi	spec	spec_lo	spec_hi	ba	ba_lo	ba_hi	mcc	mcc_lo	mcc_hi
equal_v2_published	aspiration	1228	77	0.5993	0.6327	433	59	0.5993	0.5633	0.6344	0.6238	0.5842	0.6609	0.2338	0.1276	0.3537	0.4288	0.3705	0.4922	-0.0716	-0.1299	-0.008
equal_v2_published	liaison	1135	15	0.3736	0.3656	708	3	0.3736	0.3399	0.4089	0.3679	0.335	0.4029	0.8	0.6	1.0	0.5839	0.4807	0.6879	0.0398	-0.0087	0.0851
equal_v2_published	liquidization	483	21	0.8427	0.8116	73	3	0.8427	0.7963	0.8853	0.842	0.794	0.8861	0.8571	0.7143	1.0	0.8496	0.774	0.9231	0.3646	0.2462	0.4708
equal_v2_published	nasalization_liquid	185	23	0.8324	0.8919	14	17	0.8324	0.773	0.887	0.9136	0.875	0.9571	0.2609	0.05	0.5	0.5872	0.4826	0.705	0.1854	-0.0374	0.3991
equal_v2_published	nasalization_obstruent	1267	3	0.7127	0.7103	364	0	0.7127	0.6791	0.7445	0.712	0.6778	0.7444	1.0	1.0	1.0	0.856	0.8388	0.8714	0.0763	0.0432	0.1168
equal_v2_published	tensification	1418	22	0.4676	0.4647	746	9	0.4676	0.4307	0.5057	0.4656	0.428	0.5051	0.5909	0.2941	0.8	0.5283	0.3795	0.6366	0.014	-0.0532	0.0716
equal_v2_published	ALL	5716	161	0.5751	0.5787	2338	91	0.5751	0.5585	0.5913	0.5791	0.5613	0.5964	0.4348	0.3355	0.5435	0.507	0.4594	0.5564	0.0047	-0.0268	0.0387
equal_v2_published	ALL_halfA	2947	85	0.5745	0.5803	1203	51	0.5745	0.5556	0.5932	0.5797	0.5607	0.5977	0.4	0.2841	0.5206	0.4898	0.4308	0.5537	-0.0069	-0.0465	0.0341
equal_v2_published	ALL_halfB	2769	76	0.5757	0.5771	1135	40	0.5757	0.5479	0.6041	0.5785	0.5475	0.6107	0.4737	0.2951	0.6374	0.5261	0.4478	0.5982	0.0173	-0.0325	0.0663
equal_rerun	aspiration	1228	77	0.5985	0.6303	435	58	0.5985	0.5635	0.632	0.6221	0.5828	0.6579	0.2468	0.1447	0.3611	0.4344	0.3798	0.4928	-0.0659	-0.1192	-0.0071
equal_rerun	liaison	1135	15	0.3736	0.3656	708	3	0.3736	0.34	0.408	0.3679	0.3343	0.4019	0.8	0.6	1.0	0.5839	0.4814	0.6875	0.0398	-0.0085	0.0848
