# CSJ分節音ラベル → japanese_mfa（IPA表記）の音素対応表。
# 出典: 『日本語話し言葉コーパス』の分節音ラベリング Version 1.1（前川ほか 2011）表1・表2・表3。
# MFA側は japanese_mfa v3.0.0 辞書の84音素（SHA-256: 4a0c6676...、docs/versions.md）。
#
# csj_label の表記規約: **XML Phone層の連なりを `+` でつなぐ。**
#   本プロジェクトの入力はCSJ XML（decisions-log.md「入力形式をXML+再統合に決定」）であり、
#   .seg の融合ラベル（`Q,t`・`N,m`・`s,U`）は Phone層では segment.pdf §7 手順2 により
#   等分割されて別Phoneになる。したがって表記は `Q+SclS+t`・`N+m` の形を用いる。
#
# 判断の根拠は mapping/decisions.md の各項目（長音の分割方針 / 促音の閉鎖区間の帰属 /
# 撥音の異音統合 / 無声化母音の脱落分類）を参照。
#
# ⚠ 一対多が多数ある。/u/ は後続環境で ɯ / ɨ に、ザ行は摩擦 z / 破擦 dz に分岐する。
#    照合は正規化ラベル同士ではなく (csj_label, mfa_phone) の組で行うこと
#    （src/evaluate/sequence_align.py の Compatibility）。
csj_label	jsut_label	mfa_phone	category	notes
# ============ 母音（短）============
a	a	a	vowel_short
i	i	i	vowel_short
u	u	ɯ	vowel_short	既定
u	u	ɨ	vowel_short	歯茎・口蓋（化）子音の後
e	e	e	vowel_short
o	o	o	vowel_short
# ============ 母音（長）: Phone層で V|H に等分割される。統合して1区間化 ============
a+H	a a	aː	vowel_long	内部境界はinternal_boundary_tに保持
i+H	i i	iː	vowel_long	同上
u+H	u u	ɯː	vowel_long	MFAのɯː/ɨːを統合（decisions.md 付随決定1）
u+H	u u	ɨː	vowel_long	同上
e+H	e e	eː	vowel_long	同上
o+H	o o	oː	vowel_long	同上
# ============ 無声化母音: CSJは5母音すべて、MFAは高母音3種のみ ============
I	i	i̥	devoiced_high
U	u	ɯ̥	devoiced_high
U	u	ɨ̥	devoiced_high
A	a	a	devoiced_nonhigh	MFAに無声化aは存在しない。規約差として吸収しsubstitutionに計上しない
E	e	e	devoiced_nonhigh	同上
O	o	o	devoiced_nonhigh	同上
# ============ 子音（直音）============
k	k	k	stop	カ行
g	g	ɡ	stop	ガ行
t	t	t	stop	タ・テ・ト
d	d	d	stop	ダ・デ・ド
b	b	b	stop	バ行
p	p	p	stop	パ行
c	ts	ts	affricate	ツの子音
s	s	s	fricative	サ・ス・セ・ソ
z	z	z	fricative	ザ行の摩擦実現
