phone_class	in_table1	ref_segments_all	ref_segments_evaluable	displacement	substitution	omission	insertion_by_mfa_class	ref_rows_in_alignment	matched_in_table1	pct_of_evaluable_in_table1	pct_of_all_in_table1	pct_evaluable_omitted	pct_evaluable_substituted
vowel_short	True	590967	590967	538993	10662	41312	6427	590967	549655	93.009	93.009	6.991	1.804
vowel_long	True	77796	77796	68018	2940	6838	1376	77796	70958	91.210	91.210	8.790	3.779
stop	True	231495	231491	213668	3522	14301	4318	231491	217190	93.822	93.821	6.178	1.521
fricative	True	82472	82472	73354	2474	6644	10531	82472	75828	91.944	91.944	8.056	3.000
affricate	True	14970	14970	13509	180	1281	2613	14970	13689	91.443	91.443	8.557	1.202
nasal	True	122936	122936	111448	4800	6688	945	122936	116248	94.560	94.560	5.440	3.904
flap	True	52189	52189	37583	9859	4747	856	52189	47442	90.904	90.904	9.096	18.891
approximant	True	37960	37960	34723	1290	1947	561	37960	36013	94.871	94.871	5.129	3.398
moraic_nasal	True	38364	38364	34083	515	3766	432	38364	34598	90.184	90.184	9.816	1.342
moraic_nasal_fused	True	6848	6848	5620	959	269	99	6848	6579	96.072	96.072	3.928	14.004
geminate_stop	True	18045	18045	15904	725	1416	949	18045	16629	92.153	92.153	7.847	4.018
devoiced_fused	True	53519	53519	6914	42035	4570	0	53519	48949	91.461	91.461	8.539	78.542
TOTAL_table1_classes		1327561	1327557	1153817	79961	93779	29107	1327557	1233778	92.936	92.936	7.064	6.023
auxiliary_closure	False	5050	0	0	0	0	0	0	0		0.000		
auxiliary_excluded	False	65204	0	0	0	0	0	0	0		0.000		
devoiced_fused_geminate	False	762	762	0	611	151	0	762	611	80.184	80.184	19.816	80.184
devoiced_fused_long	False	126	126	9	70	47	0	126	79	62.698	62.698	37.302	55.556
devoiced_high	False	199	199	0	176	23	95	199	176	88.442	88.442	11.558	88.442
devoiced_nonhigh	False	135	135	107	2	26	0	135	109	80.741	80.741	19.259	1.481
geminate_affricate	False	617	617	498	19	100	65	617	517	83.793	83.793	16.207	3.079
geminate_fricative	False	0	0	0	0	0	22	0	0				
geminate_no_closure	False	1477	1443	0	143	1300	0	1443	143	9.910	9.682	90.090	9.910
geminate_other	False	2	2	1	1	0	0	2	2	100.000	100.000	0.000	50.000
labialized	False	1	1	0	1	0	0	1	1	100.000	100.000	0.000	100.000
long_vowel_orphan	False	381	381	0	73	308	0	381	73	19.160	19.160	80.840	19.160
vocalfry_fused	False	1990	1990	950	51	989	0	1990	1001	50.302	50.302	49.698	2.563
TOTAL_other_classes		75944	5656	1565	1147	2944	182	5656	2712	47.949	3.571	52.051	20.279
TOTAL_all_classes		1403505	1333213	1155382	81108	96723	29289	1333213	1236490	92.745	88.100	7.255	6.084
