threshold_ms	phone_class	boundary	n	n_talks_with_cell	rate_pct	ci_lo	ci_hi	boot_se
10	vowel_short	onset	549655	177	56.916	56.385	57.452	0.268
10	vowel_short	offset	549655	177	63.503	62.998	64.033	0.264
10	vowel_long	onset	70958	177	49.917	48.646	51.079	0.623
10	vowel_long	offset	70958	177	61.614	60.564	62.577	0.505
10	stop	onset	217190	177	60.048	59.342	60.732	0.351
10	stop	offset	217190	177	75.093	74.394	75.769	0.350
10	fricative	onset	75828	177	57.892	56.689	58.996	0.607
10	fricative	offset	75828	177	75.504	74.752	76.253	0.386
10	affricate	onset	13689	177	63.847	62.380	65.313	0.754
10	affricate	offset	13689	177	83.739	82.590	84.891	0.588
10	nasal	onset	116248	177	71.188	70.334	72.043	0.439
10	nasal	offset	116248	177	28.538	27.573	29.463	0.482
10	flap	onset	47442	177	82.600	81.637	83.566	0.491
10	flap	offset	47442	177	35.772	33.829	37.676	0.982
10	approximant	onset	36013	177	50.099	49.157	50.994	0.459
10	approximant	offset	36013	177	34.093	32.616	35.476	0.722
10	moraic_nasal	onset	34598	177	47.026	45.915	48.131	0.568
10	moraic_nasal	offset	34598	177	42.317	40.562	43.917	0.859
10	moraic_nasal_fused	onset	6579	177	48.108	46.319	49.913	0.930
10	moraic_nasal_fused	offset	6579	177	20.717	19.153	22.178	0.771
10	geminate_stop	onset	16629	177	56.059	54.217	57.718	0.899
10	geminate_stop	offset	16629	177	89.470	88.699	90.294	0.409
10	devoiced_fused	onset	48949	177	45.194	44.120	46.290	0.547
10	devoiced_fused	offset	48949	177	44.532	43.399	45.657	0.582
20	vowel_short	onset	549655	177	86.636	86.282	87.002	0.188
20	vowel_short	offset	549655	177	86.459	86.068	86.867	0.204
20	vowel_long	onset	70958	177	80.121	79.214	80.999	0.451
20	vowel_long	offset	70958	177	84.230	83.474	84.961	0.388
20	stop	onset	217190	177	83.645	83.076	84.177	0.285
20	stop	offset	217190	177	95.001	94.684	95.302	0.156
20	fricative	onset	75828	177	81.066	80.384	81.731	0.345
20	fricative	offset	75828	177	93.926	93.587	94.262	0.171
20	affricate	onset	13689	177	87.925	86.871	88.915	0.523
20	affricate	offset	13689	177	98.035	97.722	98.345	0.161
20	nasal	onset	116248	177	88.733	88.044	89.383	0.339
20	nasal	offset	116248	177	83.590	82.677	84.426	0.451
20	flap	onset	47442	177	95.424	94.985	95.884	0.227
20	flap	offset	47442	177	79.345	77.906	80.827	0.728
20	approximant	onset	36013	177	78.913	78.106	79.721	0.419
20	approximant	offset	36013	177	63.213	61.501	64.803	0.846
20	moraic_nasal	onset	34598	177	75.380	74.246	76.524	0.593
20	moraic_nasal	offset	34598	177	68.461	66.681	70.101	0.857
20	moraic_nasal_fused	onset	6579	177	76.957	75.420	78.499	0.783
20	moraic_nasal_fused	offset	6579	177	81.547	80.195	82.851	0.684
20	geminate_stop	onset	16629	177	85.826	84.625	86.973	0.599
20	geminate_stop	offset	16629	177	97.330	96.881	97.753	0.224
20	devoiced_fused	onset	48949	177	60.898	59.851	61.962	0.541
20	devoiced_fused	offset	48949	177	70.036	69.027	71.030	0.509
10	ALL_table1	both	2467556	177	59.243	58.823	59.669	0.214
20	ALL_table1	both	2467556	177	85.241	84.911	85.572	0.169
