phone_class	onset_minus_offset	se	ci_lo	ci_hi	n_onset	n_offset	seed	offset
vowel_short	0.0666211913335787	0.00588133829437554	0.0550937682766027	0.0781486143905548	20000	20000	2	5
affricate	0.250309443272792	0.00710762976732567	0.236378488928834	0.26424039761675	13689	13689	2	5
approximant	-0.226448777341764	0.005880950723184	-0.237975440759204	-0.214922113924323	20000	20000	2	5
devoiced_fused	0.238576015210939	0.00588310610563481	0.227045127243895	0.250106903177984	20000	20000	2	5
devoiced_fused_geminate	1.08679960437082	0.0336426389019759	1.02086003212294	1.15273917661869	611	611	2	5
devoiced_high	0.0148948798164736	0.0626836569812885	-0.107965087866852	0.137754847499799	176	176	2	5
devoiced_nonhigh	0.12736719352792	0.0796521330161485	-0.0287509871837307	0.283485374239571	109	109	2	5
flap	-0.499736521142867	0.00588092997127292	-0.511263143886562	-0.488209898399172	20000	20000	2	5
fricative	0.23308480893144	0.00588155688436827	0.221556957438078	0.244612660424801	20000	20000	2	5
geminate_affricate	0.345823639883167	0.0365734043705304	0.274139767316927	0.417507512449406	517	517	2	5
geminate_no_closure	-0.66221127000126	0.0695412736552714	-0.798512166365592	-0.525910373636928	143	143	2	5
geminate_stop	0.4224764138919	0.00644878046625714	0.409836804178036	0.435116023605764	16629	16629	2	5
moraic_nasal	-0.0471940286647416	0.00588073199219877	-0.0587202633694512	-0.035667793960032	20000	20000	2	5
moraic_nasal_fused	-0.157678641112386	0.0102525221469489	-0.177773584520405	-0.137583697704366	6579	6579	2	5
nasal	-0.410494743105421	0.0058815799143439	-0.422022639737535	-0.398966846473307	20000	20000	2	5
other_rare	0.631240504820863	0.0667951316580454	0.500322046771094	0.762158962870632	155	155	2	5
stop	0.200347091796289	0.00588257066038207	0.18881725330194	0.211876930290637	20000	20000	2	5
vocalfry_fused	1.00914023232926	0.0262841308495051	0.95762333586423	1.06065712879429	1001	1001	2	5
vowel_long	0.127828872152987	0.0058811508383197	0.11630181650988	0.139355927796093	20000	20000	2	5
