spec	term	est	se
ols	nuc	-0.0382516290231271	0.00104625344011054
ols	nas	-0.15362530061369	0.00171417079381665
vowel_fixed	nuc	-0.0272334650435276	0.00103096376359144
vowel_fixed	nas	-0.152732518688186	0.00167704084317454
speaker_fixed	nuc	-0.0388272384489931	0.00104277281987277
speaker_fixed	nas	-0.153837507248002	0.00170919760602219
talk_fixed	nuc	-0.0388136853869378	0.00104249101074666
talk_fixed	nas	-0.153819015993907	0.00170887337247505
vowel_talk_fix	nuc	-0.0277501963193306	0.0010269821968589
vowel_talk_fix	nas	-0.152993118361921	0.00167148473272376
