model	term	est	se	ci_lo	ci_hi	t	converged	singular	minutes
diff_spk_file_vowel	(Intercept)	-0.0445893411931257	0.0329169486534693	-0.109106560553926	0.0199278781676742	-1.35460129256015	ok	FALSE	0.205243666966756
diff_spk_file_vowel	is_nuc	-0.0277375264421052	0.00102694760998829	-0.0297503437576822	-0.0257247091265282	-27.0096801164195	ok	FALSE	0.205243666966756
diff_spk_file_vowel	nasal_following	-0.153004913459773	0.00167142072694028	-0.156280898084576	-0.14972892883497	-91.541830847022	ok	FALSE	0.205243666966756
diff_spk_file_vowel	stylesps	-0.0159711500110735	0.00464454622656224	-0.0250744606151355	-0.00686783940701153	-3.43868899823501	ok	FALSE	0.205243666966756
diff_spk_file_vowel	length_classvowel_long	-0.0322972049999221	0.0463038510028399	-0.123052752965488	0.0584583429656441	-0.697505807841799	ok	FALSE	0.205243666966756
diff_plus_word	(Intercept)	-0.044611741247661	0.0329173416990253	-0.109129730977751	0.0199062484824286	-1.35526561213726	ok	FALSE	1.56413733164469
diff_plus_word	is_nuc	-0.0277250367009602	0.00102698978893181	-0.0297379366872666	-0.0257121367146539	-26.9964093117202	ok	FALSE	1.56413733164469
diff_plus_word	nasal_following	-0.152952154214975	0.00167152748835719	-0.156228348092155	-0.149675960337795	-91.5044205257425	ok	FALSE	1.56413733164469
diff_plus_word	stylesps	-0.016017206007113	0.00464504877391692	-0.0251215016039902	-0.00691291041023589	-3.44823203946826	ok	FALSE	1.56413733164469
diff_plus_word	length_classvowel_long	-0.0323995501913745	0.0463044340461522	-0.123156240921833	0.0583571405390839	-0.69970729280659	ok	FALSE	1.56413733164469
diff_nuc_slope_speaker	(Intercept)	-0.0452909283945967	0.0329420037187762	-0.109857255683398	0.0192753988942046	-1.37486865648011	ok	FALSE	1.18010452985764
diff_nuc_slope_speaker	is_nuc	-0.0280168815149464	0.00183939541369442	-0.0316220965257875	-0.0244116665041054	-15.2315708228687	ok	FALSE	1.18010452985764
diff_nuc_slope_speaker	nasal_following	-0.153131058348914	0.00167182011767216	-0.156407825779552	-0.149854290918277	-91.5954155176297	ok	FALSE	1.18010452985764
diff_nuc_slope_speaker	stylesps	-0.0145908943321621	0.00462402302999026	-0.023653979470943	-0.00552780919338122	-3.15545451169452	ok	FALSE	1.18010452985764
diff_nuc_slope_speaker	length_classvowel_long	-0.0323045418846328	0.0463356176041953	-0.123122352388856	0.0585132686195901	-0.69718595661295	ok	FALSE	1.18010452985764
ols_no_random	(Intercept)	-0.0603885158790674	0.00060309440743284	-0.0615705809176357	-0.059206450840499	-100.13111568406	ok		
ols_no_random	is_nuc	-0.0382516290231272	0.00104625344011054	-0.0403022857657439	-0.0362009722805106	-36.5605765837061	ok		
ols_no_random	nasal_following	-0.15362530061369	0.00171417079381665	-0.156985075369571	-0.15026552585781	-89.6207665932981	ok		
ols_no_random	stylesps	-0.0175352245531753	0.00077510815874288	-0.0190544365443113	-0.0160160125620393	-22.6229389477915	ok		
ols_no_random	length_classvowel_long	-0.0278485280158213	0.00122586565753401	-0.030251224704588	-0.0254458313270547	-22.717438770446	ok		
paired_model_existing (source x term)	(Intercept)	-0.06039	6e-04	-0.06157	-0.05921	-100.13	see rq3_paired.log		
paired_model_existing (source x term)	is_nuc	-0.03825	0.00105	-0.0403	-0.0362	-36.56	see rq3_paired.log		
paired_model_existing (source x term)	nasal_following	-0.15363	0.00171	-0.15699	-0.15027	-89.62	see rq3_paired.log		
paired_model_existing (source x term)	stylesps	-0.01754	0.00078	-0.01905	-0.01602	-22.62	see rq3_paired.log		
paired_model_existing (source x term)	length_classvowel_long	-0.02785	0.00123	-0.03025	-0.02545	-22.72	see rq3_paired.log		
