Phone class	Boundary	N	Median (ms)	Mean (ms)	RMSE (ms)	MAD (ms)	95th pct (ms)	<=10 ms (%)	<=20 ms (%)	<=25 ms (%)	<=50 ms (%)
flap	onset	47,442	4.9	7.0	12.3	2.9	19.0	82.6	95.4	96.9	99.0
flap	offset	47,442	13.1	14.2	17.6	5.6	28.7	35.8	79.3	90.9	98.9
nasal (onset)	onset	116,248	5.6	9.3	15.2	3.7	29.6	71.2	88.7	92.4	98.7
nasal (onset)	offset	116,248	14.0	14.5	17.8	4.4	26.1	28.5	83.6	94.0	98.9
affricate	onset	13,689	7.4	11.5	19.4	4.4	36.9	63.8	87.9	91.2	96.7
affricate	offset	13,689	5.0	6.4	10.5	2.8	14.8	83.7	98.0	98.5	99.5
stop	onset	217,190	7.8	12.1	19.4	5.0	35.7	60.0	83.6	89.2	97.1
stop	offset	217,190	5.8	7.8	11.9	3.4	20.0	75.1	95.0	97.4	99.3
fricative	onset	75,828	8.2	13.3	21.0	5.3	44.4	57.9	81.1	86.3	96.0
fricative	offset	75,828	5.7	8.0	12.5	3.3	21.7	75.5	93.9	96.6	99.2
short vowel	onset	549,655	8.5	11.5	17.2	5.2	29.7	56.9	86.6	92.5	98.2
short vowel	offset	549,655	7.1	11.1	17.9	4.6	34.0	63.5	86.5	90.8	97.7
geminate stop	onset	16,629	8.8	14.2	25.6	4.9	47.2	56.1	85.8	90.0	95.2
geminate stop	offset	16,629	4.3	5.7	10.0	2.4	12.8	89.5	97.3	98.0	99.5
approximant	onset	36,013	10.0	13.5	19.0	6.2	35.8	50.1	78.9	86.5	98.1
approximant	offset	36,013	15.0	18.2	23.7	8.8	43.7	34.1	63.2	74.5	96.9
long vowel	onset	70,958	10.0	14.3	21.9	5.8	40.6	49.9	80.1	87.6	96.4
long vowel	offset	70,958	7.5	12.5	21.0	4.8	41.4	61.6	84.2	88.4	96.4
moraic nasal (fused)	onset	6,579	10.5	16.4	25.7	6.8	60.9	48.1	77.0	83.6	92.3
moraic nasal (fused)	offset	6,579	15.0	15.5	18.6	3.8	25.1	20.7	81.5	94.4	98.9
moraic nasal /N/	onset	34,598	10.9	15.6	23.1	7.0	46.8	47.0	75.4	82.6	95.7
moraic nasal /N/	offset	34,598	12.8	16.0	22.6	8.4	38.4	42.3	68.5	81.0	97.0
devoiced (fused)	onset	48,949	11.8	28.3	43.0	9.5	96.5	45.2	60.9	64.0	76.7
devoiced (fused)	offset	48,949	11.8	16.2	23.5	8.0	44.6	44.5	70.0	80.7	96.0
