config,far_apart_s,n_pairs,pct_displacement,pct_substitution,pct_omission,pct_insertion,phone_class,boundary,n_boundaries,within10_pct
far100,0.1,1368226,84.048,5.916,7.476,2.559,devoiced_fused,onset,48793,47.691
far100,0.1,1368226,84.048,5.916,7.476,2.559,devoiced_fused,offset,48793,45.289
far100,0.1,1368226,84.048,5.916,7.476,2.559,vowel_short,onset,547994,57.098
far100,0.1,1368226,84.048,5.916,7.476,2.559,vowel_short,offset,547994,63.722
far100,0.1,1368226,84.048,5.916,7.476,2.559,stop,onset,216180,60.347
far100,0.1,1368226,84.048,5.916,7.476,2.559,stop,offset,216180,75.166
far100,0.1,1368226,84.048,5.916,7.476,2.559,ALL_table1,both,2457572,59.505
far150_default,0.15,1362502,84.799,5.953,7.099,2.15,devoiced_fused,onset,48949,45.194
far150_default,0.15,1362502,84.799,5.953,7.099,2.15,devoiced_fused,offset,48949,44.532
far150_default,0.15,1362502,84.799,5.953,7.099,2.15,vowel_short,onset,549655,56.916
far150_default,0.15,1362502,84.799,5.953,7.099,2.15,vowel_short,offset,549655,63.503
far150_default,0.15,1362502,84.799,5.953,7.099,2.15,stop,onset,217190,60.048
far150_default,0.15,1362502,84.799,5.953,7.099,2.15,stop,offset,217190,75.093
far150_default,0.15,1362502,84.799,5.953,7.099,2.15,ALL_table1,both,2467556,59.243
far200,0.2,1360224,85.097,5.968,6.949,1.986,devoiced_fused,onset,49010,44.691
far200,0.2,1360224,85.097,5.968,6.949,1.986,devoiced_fused,offset,49010,44.522
far200,0.2,1360224,85.097,5.968,6.949,1.986,vowel_short,onset,550146,56.824
far200,0.2,1360224,85.097,5.968,6.949,1.986,vowel_short,offset,550146,63.412
far200,0.2,1360224,85.097,5.968,6.949,1.986,stop,onset,217562,59.931
far200,0.2,1360224,85.097,5.968,6.949,1.986,stop,offset,217562,75.04
far200,0.2,1360224,85.097,5.968,6.949,1.986,ALL_table1,both,2471322,59.142
