setting,process,n_common,only_in_v2,changed,to_applied,to_not_applied,changed_share
equal_rerun,aspiration,1228,0,15,6,9,0.0122
equal_rerun,liaison,1135,0,6,3,3,0.0053
equal_rerun,liquidization,483,0,2,0,2,0.0041
equal_rerun,nasalization_liquid,185,0,0,0,0,0.0
equal_rerun,nasalization_obstruent,1267,0,11,5,6,0.0087
equal_rerun,tensification,1418,0,6,1,5,0.0042
equal_rerun,ALL,5716,0,40,15,25,0.007
oos_priors,aspiration,1228,0,344,344,0,0.2801
oos_priors,liaison,1135,0,688,688,0,0.6062
oos_priors,liquidization,483,0,54,54,0,0.1118
oos_priors,nasalization_liquid,185,0,9,9,0,0.0486
oos_priors,nasalization_obstruent,1266,1,308,308,0,0.2433
oos_priors,tensification,1416,2,660,660,0,0.4661
oos_priors,ALL,5713,3,2063,2063,0,0.3611
extreme_0.9_0.1,aspiration,1228,0,289,288,1,0.2353
extreme_0.9_0.1,liaison,1135,0,663,663,0,0.5841
extreme_0.9_0.1,liquidization,483,0,44,44,0,0.0911
extreme_0.9_0.1,nasalization_liquid,185,0,10,10,0,0.0541
extreme_0.9_0.1,nasalization_obstruent,1267,0,221,221,0,0.1744
extreme_0.9_0.1,tensification,1414,4,621,621,0,0.4392
extreme_0.9_0.1,ALL,5712,4,1848,1847,1,0.3235
